(DELL_G7)method,PIEs,MPPs,events,wind_size,result,all_used_time(ms)
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000,10000,23,58
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000,10000,23,36
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000,10000,23,36
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000,10000,23,36
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000,10000,23,37
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000,10000,23,36
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000,10000,23,35
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000,10000,23,36
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000,10000,23,36
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000,10000,23,36
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,10000,10000,185,113
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,10000,10000,185,111
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,10000,10000,185,110
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,10000,10000,185,128
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,10000,10000,185,134
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,10000,10000,185,114
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,10000,10000,185,114
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,10000,10000,185,129
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,10000,10000,185,118
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,10000,10000,185,111
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,100000,10000,1862,634
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,100000,10000,1862,488
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,100000,10000,1862,475
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,100000,10000,1862,497
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,100000,10000,1862,456
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,100000,10000,1862,459
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,100000,10000,1862,492
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,100000,10000,1862,469
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,100000,10000,1862,639
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,100000,10000,1862,490
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000000,10000,17797,3054
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000000,10000,17797,2913
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000000,10000,17797,2910
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000000,10000,17797,2678
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000000,10000,17797,3083
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000000,10000,17797,2913
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000000,10000,17797,3068
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000000,10000,17797,2886
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000000,10000,17797,2827
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,1000000,10000,17797,2872
method,PIEs,MPPs,events,wind_size,result,processed_time
PieStream,4,3,10000000,10000,180726,26590
