method,PIEs,MPPs,events,wind_size,result,processed_time(ms)
PieStream,4,3,1000000,10000,15449,1816
PieStream,4,3,1000000,10000,15449,1753
PieStream,4,3,1000000,10000,15449,1745
PieStream,4,3,1000000,10000,15449,1681
PieStream,4,3,1000000,10000,15449,1729
PieStream,4,3,1000000,10000,15449,1675
PieStream,4,3,1000000,10000,15449,1661
PieStream,4,3,1000000,10000,15449,1733
PieStream,4,3,1000000,10000,15449,1655
PieStream,4,3,1000000,10000,15449,1637
PieStream,6,5,1000000,10000,21003,2486
PieStream,6,5,1000000,10000,21003,2555
PieStream,6,5,1000000,10000,21003,2514
PieStream,6,5,1000000,10000,21003,2489
PieStream,6,5,1000000,10000,21003,2731
PieStream,6,5,1000000,10000,21003,2536
PieStream,6,5,1000000,10000,21003,2538
PieStream,6,5,1000000,10000,21003,2536
PieStream,6,5,1000000,10000,21003,2523
PieStream,6,5,1000000,10000,21003,2531
PieStream,8,7,1000000,10000,29528,3505
PieStream,8,7,1000000,10000,29528,3516
PieStream,8,7,1000000,10000,29528,3471
PieStream,8,7,1000000,10000,29528,3383
PieStream,8,7,1000000,10000,29528,3364
PieStream,8,7,1000000,10000,29528,3508
PieStream,8,7,1000000,10000,29528,3685
PieStream,8,7,1000000,10000,29528,3720
PieStream,8,7,1000000,10000,29528,3325
PieStream,8,7,1000000,10000,29528,3369
