(DELL_G7)method,PIEs,MPPs,events,wind_size,result,all_used_time(ms)
PieStream,4,3,1000,10000,23,60
PieStream,4,3,1000,10000,23,39
PieStream,4,3,1000,10000,23,38
PieStream,4,3,1000,10000,23,37
PieStream,4,3,1000,10000,23,36
PieStream,4,3,1000,10000,23,36
PieStream,4,3,1000,10000,23,36
PieStream,4,3,1000,10000,23,35
PieStream,4,3,1000,10000,23,38
PieStream,4,3,1000,10000,23,38
PieStream,4,3,10000,10000,185,128
PieStream,4,3,10000,10000,185,112
PieStream,4,3,10000,10000,185,125
PieStream,4,3,10000,10000,185,193
PieStream,4,3,10000,10000,185,111
PieStream,4,3,10000,10000,185,110
PieStream,4,3,10000,10000,185,111
PieStream,4,3,10000,10000,185,111
PieStream,4,3,10000,10000,185,114
PieStream,4,3,10000,10000,185,112
PieStream,4,3,100000,10000,1862,461
PieStream,4,3,100000,10000,1862,499
PieStream,4,3,100000,10000,1862,478
PieStream,4,3,100000,10000,1862,461
PieStream,4,3,100000,10000,1862,462
PieStream,4,3,100000,10000,1862,468
PieStream,4,3,100000,10000,1862,500
PieStream,4,3,100000,10000,1862,463
PieStream,4,3,100000,10000,1862,591
PieStream,4,3,100000,10000,1862,465
PieStream,4,3,1000000,10000,17797,2651
PieStream,4,3,1000000,10000,17797,2669
PieStream,4,3,1000000,10000,17797,2614
PieStream,4,3,1000000,10000,17797,2621
PieStream,4,3,1000000,10000,17797,2678
PieStream,4,3,1000000,10000,17797,2639
PieStream,4,3,1000000,10000,17797,2687
PieStream,4,3,1000000,10000,17797,2743
PieStream,4,3,1000000,10000,17797,2654
PieStream,4,3,1000000,10000,17797,2693
PieStream,4,3,10000000,10000,180726,24930
PieStream,4,3,10000000,10000,180726,25065
PieStream,4,3,10000000,10000,180726,25165
PieStream,4,3,10000000,10000,180726,25318
PieStream,4,3,10000000,10000,180726,25100
PieStream,4,3,10000000,10000,180726,24879
PieStream,4,3,10000000,10000,180726,25490
PieStream,4,3,10000000,10000,180726,24987
PieStream,4,3,10000000,10000,180726,25013
PieStream,4,3,10000000,10000,180726,25162
PieStream,6,5,1000,10000,31,39
PieStream,6,5,1000,10000,31,42
PieStream,6,5,1000,10000,31,41
PieStream,6,5,1000,10000,31,41
PieStream,6,5,1000,10000,31,41
PieStream,6,5,1000,10000,31,41
PieStream,6,5,1000,10000,31,40
PieStream,6,5,1000,10000,31,40
PieStream,6,5,1000,10000,31,45
PieStream,6,5,1000,10000,31,142
PieStream,6,5,10000,10000,276,136
PieStream,6,5,10000,10000,276,137
PieStream,6,5,10000,10000,276,138
PieStream,6,5,10000,10000,276,135
PieStream,6,5,10000,10000,276,279
PieStream,6,5,10000,10000,276,138
PieStream,6,5,10000,10000,276,136
PieStream,6,5,10000,10000,276,139
PieStream,6,5,10000,10000,276,140
PieStream,6,5,10000,10000,276,139
PieStream,6,5,100000,10000,2534,738
PieStream,6,5,100000,10000,2534,648
PieStream,6,5,100000,10000,2534,662
PieStream,6,5,100000,10000,2534,676
PieStream,6,5,100000,10000,2534,648
PieStream,6,5,100000,10000,2534,660
PieStream,6,5,100000,10000,2534,651
PieStream,6,5,100000,10000,2534,651
PieStream,6,5,100000,10000,2534,670
PieStream,6,5,100000,10000,2534,660
PieStream,6,5,1000000,10000,25053,3933
PieStream,6,5,1000000,10000,25053,3928
PieStream,6,5,1000000,10000,25053,3838
PieStream,6,5,1000000,10000,25053,3912
PieStream,6,5,1000000,10000,25053,3934
PieStream,6,5,1000000,10000,25053,3876
PieStream,6,5,1000000,10000,25053,4102
PieStream,6,5,1000000,10000,25053,3953
PieStream,6,5,1000000,10000,25053,3797
PieStream,6,5,1000000,10000,25053,3914
PieStream,6,5,10000000,10000,249187,36009
PieStream,6,5,10000000,10000,249187,35733
PieStream,6,5,10000000,10000,249187,35937
PieStream,6,5,10000000,10000,249187,36881
PieStream,6,5,10000000,10000,249187,35836
PieStream,6,5,10000000,10000,249187,35793
PieStream,6,5,10000000,10000,249187,37082
PieStream,6,5,10000000,10000,249187,37189
PieStream,6,5,10000000,10000,249187,37742
PieStream,6,5,10000000,10000,249187,37097
PieStream,8,7,1000,10000,13,46
PieStream,8,7,1000,10000,13,46
PieStream,8,7,1000,10000,13,45
PieStream,8,7,1000,10000,13,47
PieStream,8,7,1000,10000,13,44
PieStream,8,7,1000,10000,13,50
PieStream,8,7,1000,10000,13,45
PieStream,8,7,1000,10000,13,45
PieStream,8,7,1000,10000,13,43
PieStream,8,7,1000,10000,13,44
PieStream,8,7,10000,10000,296,159
PieStream,8,7,10000,10000,296,174
PieStream,8,7,10000,10000,296,165
PieStream,8,7,10000,10000,296,189
PieStream,8,7,10000,10000,296,159
PieStream,8,7,10000,10000,296,161
PieStream,8,7,10000,10000,296,159
PieStream,8,7,10000,10000,296,163
PieStream,8,7,10000,10000,296,159
PieStream,8,7,10000,10000,296,235
PieStream,8,7,100000,10000,3341,825
PieStream,8,7,100000,10000,3341,838
PieStream,8,7,100000,10000,3341,853
PieStream,8,7,100000,10000,3341,837
PieStream,8,7,100000,10000,3341,846
PieStream,8,7,100000,10000,3341,852
PieStream,8,7,100000,10000,3341,863
PieStream,8,7,100000,10000,3341,841
PieStream,8,7,100000,10000,3341,863
PieStream,8,7,100000,10000,3341,817
PieStream,8,7,1000000,10000,35171,5427
PieStream,8,7,1000000,10000,35171,5320
PieStream,8,7,1000000,10000,35171,5522
PieStream,8,7,1000000,10000,35171,5341
PieStream,8,7,1000000,10000,35171,5161
PieStream,8,7,1000000,10000,35171,5430
PieStream,8,7,1000000,10000,35171,5315
PieStream,8,7,1000000,10000,35171,5265
PieStream,8,7,1000000,10000,35171,5256
PieStream,8,7,1000000,10000,35171,5319
PieStream,8,7,10000000,10000,351542,48353
PieStream,8,7,10000000,10000,351542,48786
PieStream,8,7,10000000,10000,351542,50102
PieStream,8,7,10000000,10000,351542,50108
PieStream,8,7,10000000,10000,351542,49703
PieStream,8,7,10000000,10000,351542,50580
PieStream,8,7,10000000,10000,351542,49588
PieStream,8,7,10000000,10000,351542,49971
PieStream,8,7,10000000,10000,351542,49390
PieStream,8,7,10000000,10000,351542,49820
PieStream,10,9,1000,10000,54,54
PieStream,10,9,1000,10000,54,49
PieStream,10,9,1000,10000,54,52
PieStream,10,9,1000,10000,54,47
PieStream,10,9,1000,10000,54,50
PieStream,10,9,1000,10000,54,49
PieStream,10,9,1000,10000,54,50
PieStream,10,9,1000,10000,54,51
PieStream,10,9,1000,10000,54,49
PieStream,10,9,1000,10000,54,49
PieStream,10,9,10000,10000,576,188
PieStream,10,9,10000,10000,576,186
PieStream,10,9,10000,10000,576,188
PieStream,10,9,10000,10000,576,183
PieStream,10,9,10000,10000,576,209
PieStream,10,9,10000,10000,576,186
PieStream,10,9,10000,10000,576,183
PieStream,10,9,10000,10000,576,187
PieStream,10,9,10000,10000,576,185
PieStream,10,9,10000,10000,576,190
PieStream,10,9,100000,10000,5413,1065
PieStream,10,9,100000,10000,5413,1095
PieStream,10,9,100000,10000,5413,1080
PieStream,10,9,100000,10000,5413,1099
PieStream,10,9,100000,10000,5413,1089
PieStream,10,9,100000,10000,5413,1112
PieStream,10,9,100000,10000,5413,1128
PieStream,10,9,100000,10000,5413,1093
PieStream,10,9,100000,10000,5413,1125
PieStream,10,9,100000,10000,5413,1096
PieStream,10,9,1000000,10000,49007,6798
PieStream,10,9,1000000,10000,49007,6944
PieStream,10,9,1000000,10000,49007,6864
PieStream,10,9,1000000,10000,49007,6741
PieStream,10,9,1000000,10000,49007,6784
PieStream,10,9,1000000,10000,49007,6953
PieStream,10,9,1000000,10000,49007,6841
PieStream,10,9,1000000,10000,49007,6847
PieStream,10,9,1000000,10000,49007,6712
PieStream,10,9,1000000,10000,49007,6945
PieStream,10,9,10000000,10000,492860,63961
PieStream,10,9,10000000,10000,492860,63912
PieStream,10,9,10000000,10000,492860,64762
PieStream,10,9,10000000,10000,492860,64266
PieStream,10,9,10000000,10000,492860,64679
PieStream,10,9,10000000,10000,492860,65091
PieStream,10,9,10000000,10000,492860,65515
PieStream,10,9,10000000,10000,492860,63938
PieStream,10,9,10000000,10000,492860,64176
PieStream,10,9,10000000,10000,492860,64333
PieStream,12,11,1000,10000,73,55
PieStream,12,11,1000,10000,73,59
PieStream,12,11,1000,10000,73,54
PieStream,12,11,1000,10000,73,57
PieStream,12,11,1000,10000,73,56
PieStream,12,11,1000,10000,73,57
PieStream,12,11,1000,10000,73,56
PieStream,12,11,1000,10000,73,54
PieStream,12,11,1000,10000,73,55
PieStream,12,11,1000,10000,73,54
PieStream,12,11,10000,10000,724,203
PieStream,12,11,10000,10000,724,231
PieStream,12,11,10000,10000,724,207
PieStream,12,11,10000,10000,724,206
PieStream,12,11,10000,10000,724,205
PieStream,12,11,10000,10000,724,207
PieStream,12,11,10000,10000,724,247
PieStream,12,11,10000,10000,724,208
PieStream,12,11,10000,10000,724,208
PieStream,12,11,10000,10000,724,214
PieStream,12,11,100000,10000,6938,1265
PieStream,12,11,100000,10000,6938,1316
PieStream,12,11,100000,10000,6938,1293
PieStream,12,11,100000,10000,6938,1310
PieStream,12,11,100000,10000,6938,1280
PieStream,12,11,100000,10000,6938,1334
PieStream,12,11,100000,10000,6938,1270
PieStream,12,11,100000,10000,6938,1282
PieStream,12,11,100000,10000,6938,1346
PieStream,12,11,100000,10000,6938,1274
PieStream,12,11,1000000,10000,70942,8898
PieStream,12,11,1000000,10000,70942,8821
PieStream,12,11,1000000,10000,70942,9003
PieStream,12,11,1000000,10000,70942,8895
PieStream,12,11,1000000,10000,70942,8885
PieStream,12,11,1000000,10000,70942,8975
PieStream,12,11,1000000,10000,70942,9049
PieStream,12,11,1000000,10000,70942,8858
PieStream,12,11,1000000,10000,70942,9100
PieStream,12,11,1000000,10000,70942,8720
PieStream,12,11,10000000,10000,676604,78711
PieStream,12,11,10000000,10000,676604,79317
PieStream,12,11,10000000,10000,676604,79723
PieStream,12,11,10000000,10000,676604,79627
PieStream,12,11,10000000,10000,676604,78574
PieStream,12,11,10000000,10000,676604,78568
PieStream,12,11,10000000,10000,676604,79998
PieStream,12,11,10000000,10000,676604,76508
PieStream,12,11,10000000,10000,676604,78395
PieStream,12,11,10000000,10000,676604,78074
PieStream,14,13,1000,10000,14,65
PieStream,14,13,1000,10000,14,60
PieStream,14,13,1000,10000,14,59
PieStream,14,13,1000,10000,14,62
PieStream,14,13,1000,10000,14,60
PieStream,14,13,1000,10000,14,62
PieStream,14,13,1000,10000,14,60
PieStream,14,13,1000,10000,14,59
PieStream,14,13,1000,10000,14,59
PieStream,14,13,1000,10000,14,59
PieStream,14,13,10000,10000,1048,265
PieStream,14,13,10000,10000,1048,279
PieStream,14,13,10000,10000,1048,259
PieStream,14,13,10000,10000,1048,243
PieStream,14,13,10000,10000,1048,262
PieStream,14,13,10000,10000,1048,264
PieStream,14,13,10000,10000,1048,261
PieStream,14,13,10000,10000,1048,239
PieStream,14,13,10000,10000,1048,263
PieStream,14,13,10000,10000,1048,335
PieStream,14,13,100000,10000,11171,1542
PieStream,14,13,100000,10000,11171,1589
PieStream,14,13,100000,10000,11171,1657
PieStream,14,13,100000,10000,11171,1735
PieStream,14,13,100000,10000,11171,1529
PieStream,14,13,100000,10000,11171,1576
PieStream,14,13,100000,10000,11171,1657
PieStream,14,13,100000,10000,11171,1594
PieStream,14,13,100000,10000,11171,1591
PieStream,14,13,100000,10000,11171,1613
PieStream,14,13,1000000,10000,95783,10674
PieStream,14,13,1000000,10000,95783,11775
PieStream,14,13,1000000,10000,95783,11091
PieStream,14,13,1000000,10000,95783,11164
PieStream,14,13,1000000,10000,95783,11198
PieStream,14,13,1000000,10000,95783,11408
PieStream,14,13,1000000,10000,95783,10850
PieStream,14,13,1000000,10000,95783,11083
PieStream,14,13,1000000,10000,95783,10899
PieStream,14,13,1000000,10000,95783,11126
PieStream,14,13,10000000,10000,942579,99056
PieStream,14,13,10000000,10000,942579,98053
PieStream,14,13,10000000,10000,942579,96035
PieStream,14,13,10000000,10000,942579,96720
PieStream,14,13,10000000,10000,942579,97726
PieStream,14,13,10000000,10000,942579,95527
PieStream,14,13,10000000,10000,942579,95529
PieStream,14,13,10000000,10000,942579,98455
PieStream,14,13,10000000,10000,942579,95890
PieStream,14,13,10000000,10000,942579,98321
PieStream,16,15,1000,10000,247,77
PieStream,16,15,1000,10000,247,68
PieStream,16,15,1000,10000,247,69
PieStream,16,15,1000,10000,247,67
PieStream,16,15,1000,10000,247,73
PieStream,16,15,1000,10000,247,68
PieStream,16,15,1000,10000,247,66
PieStream,16,15,1000,10000,247,70
PieStream,16,15,1000,10000,247,68
PieStream,16,15,1000,10000,247,78
PieStream,16,15,10000,10000,1147,282
PieStream,16,15,10000,10000,1147,261
PieStream,16,15,10000,10000,1147,266
PieStream,16,15,10000,10000,1147,294
PieStream,16,15,10000,10000,1147,260
PieStream,16,15,10000,10000,1147,312
PieStream,16,15,10000,10000,1147,274
PieStream,16,15,10000,10000,1147,283
PieStream,16,15,10000,10000,1147,268
PieStream,16,15,10000,10000,1147,265
PieStream,16,15,100000,10000,15247,1856
PieStream,16,15,100000,10000,15247,1883
PieStream,16,15,100000,10000,15247,1837
PieStream,16,15,100000,10000,15247,1851
PieStream,16,15,100000,10000,15247,1852
PieStream,16,15,100000,10000,15247,1861
PieStream,16,15,100000,10000,15247,1898
PieStream,16,15,100000,10000,15247,1835
PieStream,16,15,100000,10000,15247,1844
PieStream,16,15,100000,10000,15247,1859
PieStream,16,15,1000000,10000,129551,13238
PieStream,16,15,1000000,10000,129551,13475
PieStream,16,15,1000000,10000,129551,13365
PieStream,16,15,1000000,10000,129551,13318
PieStream,16,15,1000000,10000,129551,12910
PieStream,16,15,1000000,10000,129551,13288
PieStream,16,15,1000000,10000,129551,12986
PieStream,16,15,1000000,10000,129551,12987
PieStream,16,15,1000000,10000,129551,13924
PieStream,16,15,1000000,10000,129551,13573
PieStream,16,15,10000000,10000,1288522,115979
PieStream,16,15,10000000,10000,1288522,116427
PieStream,16,15,10000000,10000,1288522,117513
PieStream,16,15,10000000,10000,1288522,118286
PieStream,16,15,10000000,10000,1288522,112633
PieStream,16,15,10000000,10000,1288522,115060
PieStream,16,15,10000000,10000,1288522,116725
PieStream,16,15,10000000,10000,1288522,115756
PieStream,16,15,10000000,10000,1288522,117573
PieStream,16,15,10000000,10000,1288522,116097
PieStream,18,17,1000,10000,309,77
PieStream,18,17,1000,10000,309,72
PieStream,18,17,1000,10000,309,78
PieStream,18,17,1000,10000,309,74
PieStream,18,17,1000,10000,309,71
PieStream,18,17,1000,10000,309,75
PieStream,18,17,1000,10000,309,75
PieStream,18,17,1000,10000,309,81
PieStream,18,17,1000,10000,309,78
PieStream,18,17,1000,10000,309,74
PieStream,18,17,10000,10000,3308,323
PieStream,18,17,10000,10000,3308,340
PieStream,18,17,10000,10000,3308,360
PieStream,18,17,10000,10000,3308,331
PieStream,18,17,10000,10000,3308,328
PieStream,18,17,10000,10000,3308,332
PieStream,18,17,10000,10000,3308,343
PieStream,18,17,10000,10000,3308,324
PieStream,18,17,10000,10000,3308,318
PieStream,18,17,10000,10000,3308,331
PieStream,18,17,100000,10000,20735,2273
PieStream,18,17,100000,10000,20735,2124
PieStream,18,17,100000,10000,20735,2362
PieStream,18,17,100000,10000,20735,2014
PieStream,18,17,100000,10000,20735,2068
PieStream,18,17,100000,10000,20735,2094
PieStream,18,17,100000,10000,20735,2129
PieStream,18,17,100000,10000,20735,2114
PieStream,18,17,100000,10000,20735,2055
PieStream,18,17,100000,10000,20735,2077
PieStream,18,17,1000000,10000,177541,15966
PieStream,18,17,1000000,10000,177541,16530
PieStream,18,17,1000000,10000,177541,16083
PieStream,18,17,1000000,10000,177541,15898
PieStream,18,17,1000000,10000,177541,15989
PieStream,18,17,1000000,10000,177541,15952
PieStream,18,17,1000000,10000,177541,15912
PieStream,18,17,1000000,10000,177541,16188
PieStream,18,17,1000000,10000,177541,15694
PieStream,18,17,1000000,10000,177541,16105
PieStream,18,17,10000000,10000,1810114,135964
PieStream,18,17,10000000,10000,1810114,135884
PieStream,18,17,10000000,10000,1810114,133039
PieStream,18,17,10000000,10000,1810114,133382
PieStream,18,17,10000000,10000,1810114,135917
PieStream,18,17,10000000,10000,1810114,143982
PieStream,18,17,10000000,10000,1810114,136865
PieStream,18,17,10000000,10000,1810114,138654
PieStream,18,17,10000000,10000,1810114,135983
PieStream,18,17,10000000,10000,1810114,138204
PieStream,20,19,1000,10000,76,77
PieStream,20,19,1000,10000,76,72
PieStream,20,19,1000,10000,76,77
PieStream,20,19,1000,10000,76,74
PieStream,20,19,1000,10000,76,75
PieStream,20,19,1000,10000,76,74
PieStream,20,19,1000,10000,76,77
PieStream,20,19,1000,10000,76,70
PieStream,20,19,1000,10000,76,72
PieStream,20,19,1000,10000,76,76
PieStream,20,19,10000,10000,2004,328
PieStream,20,19,10000,10000,2004,355
PieStream,20,19,10000,10000,2004,340
PieStream,20,19,10000,10000,2004,313
PieStream,20,19,10000,10000,2004,340
PieStream,20,19,10000,10000,2004,324
PieStream,20,19,10000,10000,2004,335
PieStream,20,19,10000,10000,2004,322
PieStream,20,19,10000,10000,2004,339
PieStream,20,19,10000,10000,2004,370
PieStream,20,19,100000,10000,24552,2281
PieStream,20,19,100000,10000,24552,2301
PieStream,20,19,100000,10000,24552,2339
PieStream,20,19,100000,10000,24552,2455
PieStream,20,19,100000,10000,24552,2393
PieStream,20,19,100000,10000,24552,2264
PieStream,20,19,100000,10000,24552,2254
PieStream,20,19,100000,10000,24552,2324
PieStream,20,19,100000,10000,24552,2345
PieStream,20,19,100000,10000,24552,2397
PieStream,20,19,1000000,10000,251761,19296
PieStream,20,19,1000000,10000,251761,19483
PieStream,20,19,1000000,10000,251761,19394
PieStream,20,19,1000000,10000,251761,19131
PieStream,20,19,1000000,10000,251761,19110
PieStream,20,19,1000000,10000,251761,19868
PieStream,20,19,1000000,10000,251761,19380
PieStream,20,19,1000000,10000,251761,19091
PieStream,20,19,1000000,10000,251761,19688
PieStream,20,19,1000000,10000,251761,19521
PieStream,20,19,10000000,10000,2524490,163741
PieStream,20,19,10000000,10000,2524490,162979
PieStream,20,19,10000000,10000,2524490,159275
PieStream,20,19,10000000,10000,2524490,160530
PieStream,20,19,10000000,10000,2524490,161950
PieStream,20,19,10000000,10000,2524490,163897
PieStream,20,19,10000000,10000,2524490,160322
PieStream,20,19,10000000,10000,2524490,161509
PieStream,20,19,10000000,10000,2524490,164776
PieStream,20,19,10000000,10000,2524490,166952
PieStream,22,21,1000,10000,276,104
PieStream,22,21,1000,10000,276,94
PieStream,22,21,1000,10000,276,114
PieStream,22,21,1000,10000,276,102
PieStream,22,21,1000,10000,276,104
PieStream,22,21,1000,10000,276,104
PieStream,22,21,1000,10000,276,109
PieStream,22,21,1000,10000,276,100
PieStream,22,21,1000,10000,276,186
PieStream,22,21,1000,10000,276,100
PieStream,22,21,10000,10000,2315,418
PieStream,22,21,10000,10000,2315,413
PieStream,22,21,10000,10000,2315,412
PieStream,22,21,10000,10000,2315,453
PieStream,22,21,10000,10000,2315,458
PieStream,22,21,10000,10000,2315,445
PieStream,22,21,10000,10000,2315,412
PieStream,22,21,10000,10000,2315,431
PieStream,22,21,10000,10000,2315,443
PieStream,22,21,10000,10000,2315,409
PieStream,22,21,100000,10000,29916,2714
PieStream,22,21,100000,10000,29916,2692
PieStream,22,21,100000,10000,29916,2516
PieStream,22,21,100000,10000,29916,2588
PieStream,22,21,100000,10000,29916,2531
PieStream,22,21,100000,10000,29916,2817
PieStream,22,21,100000,10000,29916,2581
PieStream,22,21,100000,10000,29916,2692
PieStream,22,21,100000,10000,29916,2544
PieStream,22,21,100000,10000,29916,2688
PieStream,22,21,1000000,10000,341430,23051
PieStream,22,21,1000000,10000,341430,23046
PieStream,22,21,1000000,10000,341430,23625
PieStream,22,21,1000000,10000,341430,23905
PieStream,22,21,1000000,10000,341430,23193
PieStream,22,21,1000000,10000,341430,23667
PieStream,22,21,1000000,10000,341430,24314
PieStream,22,21,1000000,10000,341430,23953
PieStream,22,21,1000000,10000,341430,23610
PieStream,22,21,1000000,10000,341430,23316
PieStream,22,21,10000000,10000,3515088,199105
PieStream,22,21,10000000,10000,3515088,201902
PieStream,22,21,10000000,10000,3515088,199050
PieStream,22,21,10000000,10000,3515088,202707
PieStream,22,21,10000000,10000,3515088,201720
PieStream,22,21,10000000,10000,3515088,203034
PieStream,22,21,10000000,10000,3515088,198257
PieStream,22,21,10000000,10000,3515088,196676
PieStream,22,21,10000000,10000,3515088,204446
PieStream,22,21,10000000,10000,3515088,199645
PieStream,24,23,1000,10000,447,123
