(DELL_G7)method,PIEs,MPPs,events,wind_size,result,all_used_time(ms)
PieStream,24,23,1000,10000,447,110
PieStream,24,23,1000,10000,447,132
PieStream,24,23,1000,10000,447,127
PieStream,24,23,1000,10000,447,160
PieStream,24,23,1000,10000,447,114
PieStream,24,23,1000,10000,447,109
PieStream,24,23,1000,10000,447,135
PieStream,24,23,1000,10000,447,126
PieStream,24,23,1000,10000,447,127
PieStream,24,23,10000,10000,3711,475
PieStream,24,23,10000,10000,3711,514
PieStream,24,23,10000,10000,3711,478
PieStream,24,23,10000,10000,3711,515
PieStream,24,23,10000,10000,3711,464
PieStream,24,23,10000,10000,3711,465
PieStream,24,23,10000,10000,3711,478
PieStream,24,23,10000,10000,3711,513
PieStream,24,23,10000,10000,3711,490
PieStream,24,23,10000,10000,3711,470
PieStream,24,23,100000,10000,39717,2844
PieStream,24,23,100000,10000,39717,2886
PieStream,24,23,100000,10000,39717,3119
PieStream,24,23,100000,10000,39717,2937
PieStream,24,23,100000,10000,39717,3050
PieStream,24,23,100000,10000,39717,2883
PieStream,24,23,100000,10000,39717,3128
PieStream,24,23,100000,10000,39717,3032
PieStream,24,23,100000,10000,39717,2988
PieStream,24,23,100000,10000,39717,3078
PieStream,24,23,1000000,10000,489019,26239
PieStream,24,23,1000000,10000,489019,27122
PieStream,24,23,1000000,10000,489019,26201
PieStream,24,23,1000000,10000,489019,26611
PieStream,24,23,1000000,10000,489019,26787
PieStream,24,23,1000000,10000,489019,26144
PieStream,24,23,1000000,10000,489019,26448
PieStream,24,23,1000000,10000,489019,26168
PieStream,24,23,1000000,10000,489019,27329
PieStream,24,23,1000000,10000,489019,26600
PieStream,24,23,10000000,10000,4994333,266217
PieStream,24,23,10000000,10000,4994333,266751
PieStream,24,23,10000000,10000,4994333,271169
PieStream,24,23,10000000,10000,4994333,269412
PieStream,24,23,10000000,10000,4994333,271235
PieStream,24,23,10000000,10000,4994333,266118
PieStream,24,23,10000000,10000,4994333,263090
PieStream,24,23,10000000,10000,4994333,269554
PieStream,24,23,10000000,10000,4994333,271236
PieStream,24,23,10000000,10000,4994333,266928
