method,PIEs,MPPs,events,wind_size,result,processed_time(ms)
PieStream,4,3,1000,10000,14,26
PieStream,4,3,1000,10000,14,24
PieStream,4,3,1000,10000,14,25
PieStream,4,3,1000,10000,14,26
PieStream,4,3,1000,10000,14,26
PieStream,4,3,1000,10000,14,27
PieStream,4,3,1000,10000,14,25
PieStream,4,3,1000,10000,14,26
PieStream,4,3,1000,10000,14,24
PieStream,4,3,1000,10000,14,27
PieStream,4,3,10000,10000,165,70
PieStream,4,3,10000,10000,165,69
PieStream,4,3,10000,10000,165,70
PieStream,4,3,10000,10000,165,71
PieStream,4,3,10000,10000,165,71
PieStream,4,3,10000,10000,165,70
PieStream,4,3,10000,10000,165,69
PieStream,4,3,10000,10000,165,70
PieStream,4,3,10000,10000,165,69
PieStream,4,3,10000,10000,165,70
PieStream,4,3,100000,10000,1557,261
PieStream,4,3,100000,10000,1557,262
PieStream,4,3,100000,10000,1557,265
PieStream,4,3,100000,10000,1557,263
PieStream,4,3,100000,10000,1557,266
