method,PIEs,MPPs,events,wind_size,result,processed_time(ms)
PieStream,10,9,1000,10000,54,53
PieStream,10,9,1000,10000,54,51
PieStream,10,9,1000,10000,54,53
PieStream,10,9,1000,10000,54,52
PieStream,10,9,1000,10000,54,116
PieStream,10,9,10000,10000,576,193
PieStream,10,9,10000,10000,576,195
PieStream,10,9,10000,10000,576,190
PieStream,10,9,10000,10000,576,191
PieStream,10,9,10000,10000,576,191
PieStream,10,9,10000,10000,576,199
PieStream,10,9,10000,10000,576,191
PieStream,10,9,10000,10000,576,195
PieStream,10,9,10000,10000,576,209
PieStream,10,9,10000,10000,576,189
PieStream,10,9,100000,10000,5413,1172
PieStream,10,9,100000,10000,5413,1118
PieStream,10,9,100000,10000,5413,1167
PieStream,10,9,100000,10000,5413,1133
PieStream,10,9,100000,10000,5413,1134
PieStream,10,9,100000,10000,5413,1145
PieStream,10,9,100000,10000,5413,1223
PieStream,10,9,100000,10000,5413,1146
PieStream,10,9,100000,10000,5413,1114
PieStream,10,9,100000,10000,5413,1105
PieStream,10,9,1000000,10000,49007,7708
PieStream,10,9,1000000,10000,49007,7360
PieStream,10,9,1000000,10000,49007,7267
PieStream,10,9,1000000,10000,49007,7483
PieStream,10,9,1000000,10000,49007,7453
PieStream,10,9,1000000,10000,49007,7486
PieStream,10,9,1000000,10000,49007,7203
PieStream,10,9,1000000,10000,49007,7272
PieStream,10,9,1000000,10000,49007,7457
PieStream,10,9,1000000,10000,49007,7531
PieStream,10,9,10000000,10000,492860,68936
PieStream,10,9,10000000,10000,492860,69215
PieStream,10,9,10000000,10000,492860,67863
PieStream,10,9,10000000,10000,492860,69679
PieStream,10,9,10000000,10000,492860,67996
PieStream,10,9,10000000,10000,492860,68765
PieStream,10,9,10000000,10000,492860,68449
PieStream,10,9,10000000,10000,492860,68793
PieStream,10,9,10000000,10000,492860,69212
PieStream,10,9,10000000,10000,492860,70165
