method,PIEs,MPPs,events,wind_size,result,processed_time(ms),if_query_include_finish_rels
PieStream,4,3,1000,1000,29,33,1
PieStream,4,3,1000,1000,29,28,0
PieStream,4,3,5000,5000,1105,59,1
PieStream,4,3,5000,5000,1053,58,0
PieStream,4,3,10000,10000,5026,88,1
PieStream,4,3,10000,10000,4915,80,0
PieStream,4,3,50000,50000,118716,340,1
PieStream,4,3,50000,50000,115762,272,0
PieStream,4,3,100000,100000,500519,1137,1
PieStream,4,3,100000,100000,481677,1153,0
