(DELL_G7)method,PIEs,MPPs,events,wind_size,result,all_used_time(ms),usePreciseRel
PieStream,3,2,8640000,200000,1151,28642,0
PieStream,3,2,8640000,200000,1151,28747,0
PieStream,3,2,8640000,400000,2279,28876,0
PieStream,3,2,8640000,400000,2279,29080,0
PieStream,3,2,8640000,400000,2279,28845,0
PieStream,3,2,8640000,400000,2279,28916,0
PieStream,3,2,8640000,400000,2279,28900,0
PieStream,3,2,8640000,400000,2279,28915,0
PieStream,3,2,8640000,400000,2279,28669,0
PieStream,3,2,8640000,400000,2279,29228,0
PieStream,3,2,8640000,400000,2279,29246,0
PieStream,3,2,8640000,400000,2279,29118,0
PieStream,3,2,8640000,600000,3329,29083,0
PieStream,3,2,8640000,600000,3329,29182,0
PieStream,3,2,8640000,600000,3329,28850,0
PieStream,3,2,8640000,600000,3329,29818,0
PieStream,3,2,8640000,600000,3329,30733,0
PieStream,3,2,8640000,600000,3329,30282,0
PieStream,3,2,8640000,600000,3329,31466,0
PieStream,3,2,8640000,600000,3329,28964,0
PieStream,3,2,8640000,600000,3329,29047,0
PieStream,3,2,8640000,600000,3329,29553,0
PieStream,3,2,8640000,800000,4343,29141,0
PieStream,3,2,8640000,800000,4343,29102,0
PieStream,3,2,8640000,800000,4343,29011,0
PieStream,3,2,8640000,800000,4343,29018,0
PieStream,3,2,8640000,800000,4343,29160,0
PieStream,3,2,8640000,800000,4343,29064,0
PieStream,3,2,8640000,800000,4343,29124,0
PieStream,3,2,8640000,800000,4343,29155,0
PieStream,3,2,8640000,800000,4343,29270,0
PieStream,3,2,8640000,800000,4343,29215,0
PieStream,3,2,8640000,1000000,5344,29000,0
PieStream,3,2,8640000,1000000,5344,29310,0
PieStream,3,2,8640000,1000000,5344,29136,0
PieStream,3,2,8640000,1000000,5344,29261,0
PieStream,3,2,8640000,1000000,5344,29007,0
PieStream,3,2,8640000,1000000,5344,28850,0
PieStream,3,2,8640000,1000000,5344,28915,0
PieStream,3,2,8640000,1000000,5344,29152,0
PieStream,3,2,8640000,1000000,5344,28671,0
PieStream,3,2,8640000,1000000,5344,29072,0
