(DELL_G7)method,PIEs,MPPs,events,wind_size,result,all_used_time(ms),usePreciseRel
PieStream,3,2,8640000,10000,95,25670,1
PieStream,3,2,8640000,50000,95,25974,1
PieStream,3,2,8640000,100000,95,26287,1
PieStream,3,2,8640000,200000,95,26688,1
PieStream,3,2,8640000,400000,95,26269,1
PieStream,3,2,8640000,600000,95,26089,1
PieStream,3,2,8640000,800000,95,26703,1
PieStream,3,2,8640000,1000000,95,26735,1
PieStream,3,2,8640000,10000,164,27838,0
PieStream,3,2,8640000,50000,264,28060,0
PieStream,3,2,8640000,100000,602,29073,0
PieStream,3,2,8640000,200000,1151,29234,0
PieStream,3,2,8640000,400000,2279,29339,0
PieStream,3,2,8640000,600000,3329,29204,0
PieStream,3,2,8640000,800000,4343,29798,0
PieStream,3,2,8640000,1000000,5344,29280,0
