(DELL_G7)method,PIEs,MPPs,events,wind_size,result,all_used_time(ms),usePreciseRel
PieStream,4,5,8640000,1728000,114,28280,0
PieStream,4,5,8640000,1728000,114,28197,0
PieStream,4,5,8640000,1728000,114,27967,0
PieStream,4,5,8640000,1728000,114,28444,0
PieStream,4,5,8640000,1728000,114,28347,0
PieStream,4,5,8640000,2592000,171,28203,0
PieStream,4,5,8640000,2592000,171,28067,0
PieStream,4,5,8640000,2592000,171,28317,0
PieStream,4,5,8640000,2592000,171,28118,0
PieStream,4,5,8640000,2592000,171,28548,0
PieStream,4,5,8640000,2592000,171,28013,0
PieStream,4,5,8640000,2592000,171,28301,0
PieStream,4,5,8640000,2592000,171,27995,0
PieStream,4,5,8640000,2592000,171,28055,0
PieStream,4,5,8640000,2592000,171,28498,0
PieStream,4,5,8640000,3456000,212,28349,0
PieStream,4,5,8640000,3456000,212,28331,0
PieStream,4,5,8640000,3456000,212,28208,0
PieStream,4,5,8640000,3456000,212,27754,0
PieStream,4,5,8640000,3456000,212,28119,0
PieStream,4,5,8640000,3456000,212,28035,0
PieStream,4,5,8640000,3456000,212,27962,0
PieStream,4,5,8640000,3456000,212,28094,0
PieStream,4,5,8640000,3456000,212,27884,0
PieStream,4,5,8640000,3456000,212,28627,0
PieStream,4,5,8640000,4320000,241,27907,0
PieStream,4,5,8640000,4320000,241,28106,0
PieStream,4,5,8640000,4320000,241,28615,0
PieStream,4,5,8640000,4320000,241,28027,0
PieStream,4,5,8640000,4320000,241,28222,0
PieStream,4,5,8640000,4320000,241,28272,0
PieStream,4,5,8640000,4320000,241,27748,0
PieStream,4,5,8640000,4320000,241,27942,0
PieStream,4,5,8640000,4320000,241,28597,0
PieStream,4,5,8640000,4320000,241,28370,0
PieStream,4,5,8640000,5184000,278,27648,0
PieStream,4,5,8640000,5184000,278,27783,0
PieStream,4,5,8640000,5184000,278,28755,0
PieStream,4,5,8640000,5184000,278,28156,0
PieStream,4,5,8640000,5184000,278,28243,0
PieStream,4,5,8640000,5184000,278,27792,0
PieStream,4,5,8640000,5184000,278,28083,0
PieStream,4,5,8640000,5184000,278,28146,0
PieStream,4,5,8640000,5184000,278,27922,0
PieStream,4,5,8640000,5184000,278,28167,0
PieStream,4,5,8640000,6048000,297,28060,0
PieStream,4,5,8640000,6048000,297,27892,0
PieStream,4,5,8640000,6048000,297,28378,0
PieStream,4,5,8640000,6048000,297,28275,0
PieStream,4,5,8640000,6048000,297,27757,0
PieStream,4,5,8640000,6048000,297,28176,0
PieStream,4,5,8640000,6048000,297,27758,0
PieStream,4,5,8640000,6048000,297,28026,0
PieStream,4,5,8640000,6048000,297,28206,0
PieStream,4,5,8640000,6048000,297,28107,0
PieStream,4,5,8640000,6912000,306,27954,0
PieStream,4,5,8640000,6912000,306,27844,0
PieStream,4,5,8640000,6912000,306,27830,0
PieStream,4,5,8640000,6912000,306,27779,0
PieStream,4,5,8640000,6912000,306,28091,0
PieStream,4,5,8640000,6912000,306,28819,0
PieStream,4,5,8640000,6912000,306,27427,0
PieStream,4,5,8640000,6912000,306,28037,0
PieStream,4,5,8640000,6912000,306,28036,0
PieStream,4,5,8640000,6912000,306,28017,0
PieStream,4,5,8640000,7776000,318,27865,0
PieStream,4,5,8640000,7776000,318,28439,0
PieStream,4,5,8640000,7776000,318,28487,0
PieStream,4,5,8640000,7776000,318,27610,0
PieStream,4,5,8640000,7776000,318,27877,0
PieStream,4,5,8640000,7776000,318,27442,0
PieStream,4,5,8640000,7776000,318,28021,0
PieStream,4,5,8640000,7776000,318,27601,0
PieStream,4,5,8640000,7776000,318,27746,0
PieStream,4,5,8640000,7776000,318,28052,0
PieStream,4,5,8640000,8640000,318,28784,0
PieStream,4,5,8640000,8640000,318,27763,0
PieStream,4,5,8640000,8640000,318,27619,0
PieStream,4,5,8640000,8640000,318,27831,0
PieStream,4,5,8640000,8640000,318,27299,0
PieStream,4,5,8640000,8640000,318,28382,0
PieStream,4,5,8640000,8640000,318,28230,0
PieStream,4,5,8640000,8640000,318,28137,0
PieStream,4,5,8640000,8640000,318,27919,0
PieStream,4,5,8640000,8640000,318,27641,0
